,prediction
0,3.9382062268016624
1,3.84821594671488
2,4.392307834770435
3,3.817079179962617
4,4.13255923460514
5,4.100204650967117
6,4.027452130170718
7,4.392307834770435
8,4.13255923460514
9,3.817079179962617
10,3.750670920360028
11,4.305292435691078
12,3.84821594671488
13,4.13255923460514
14,4.305292435691078
15,4.100204650967117
16,3.817079179962617
17,4.100204650967117
18,3.84821594671488
19,3.5781627582473035
20,3.5781627582473035
21,4.13255923460514
22,4.13255923460514
23,3.750670920360028
24,3.84821594671488
25,4.13255923460514
26,3.817079179962617
27,3.84821594671488
28,3.817079179962617
29,3.817079179962617
30,4.13255923460514
31,4.100204650967117
32,4.13255923460514
33,4.392307834770435
34,4.027452130170718
35,3.9382062268016624
36,4.027452130170718
37,4.0189771199650135
38,4.100204650967117
39,3.817079179962617
40,4.2918275426678445
41,4.2918275426678445
42,4.100204650967117
43,4.027452130170718
44,3.84821594671488
45,4.392307834770435
46,3.750670920360028
47,3.750670920360028
48,3.817079179962617
49,3.750670920360028
50,3.817079179962617
51,3.817079179962617
52,3.84821594671488
53,3.750670920360028
54,4.027452130170718
55,4.027452130170718
56,4.2918275426678445
57,4.0189771199650135
58,3.9382062268016624
59,3.9382062268016624
60,3.84821594671488
61,4.100204650967117
62,4.13255923460514
63,3.5781627582473035
64,3.817079179962617
65,4.100204650967117
66,3.817079179962617
67,4.13255923460514
68,3.84821594671488
69,4.027452130170718
70,3.817079179962617
71,4.0189771199650135
72,3.750670920360028
73,3.9382062268016624
74,4.305292435691078
75,4.392307834770435
76,3.5781627582473035
77,3.9382062268016624
78,4.392307834770435
79,4.100204650967117
80,3.9382062268016624
81,3.750670920360028
82,4.100204650967117
83,4.13255923460514
84,3.84821594671488
85,4.13255923460514
86,4.0189771199650135
87,4.027452130170718
88,3.9382062268016624
89,4.2918275426678445
90,3.9382062268016624
91,4.027452130170718
92,4.027452130170718
93,3.9382062268016624
94,4.100204650967117
95,3.9382062268016624
96,4.100204650967117
97,3.817079179962617
98,3.817079179962617
99,4.100204650967117
100,4.13255923460514
101,4.100204650967117
102,3.750670920360028
103,4.13255923460514
104,3.817079179962617
105,3.84821594671488
106,3.5781627582473035
107,4.027452130170718
108,3.750670920360028
109,4.100204650967117
110,3.9382062268016624
111,4.2918275426678445
112,3.750670920360028
113,3.817079179962617
114,4.2918275426678445
115,3.817079179962617
116,3.84821594671488
117,3.84821594671488
118,3.817079179962617
119,3.84821594671488
120,4.027452130170718
121,4.100204650967117
122,4.2918275426678445
123,3.9382062268016624
124,4.100204650967117
125,3.5781627582473035
126,3.817079179962617
127,4.2918275426678445
128,3.750670920360028
129,3.84821594671488
130,3.84821594671488
131,4.100204650967117
132,3.84821594671488
133,3.84821594671488
134,3.750670920360028
135,4.305292435691078
136,3.817079179962617
137,3.84821594671488
138,4.027452130170718
139,4.027452130170718
140,3.84821594671488
141,3.9382062268016624
142,3.5781627582473035
143,3.817079179962617
144,4.100204650967117
145,3.5781627582473035
146,3.817079179962617
147,3.817079179962617
148,3.84821594671488
149,3.9382062268016624
150,3.750670920360028
151,4.305292435691078
152,4.100204650967117
153,3.84821594671488
154,3.817079179962617
155,4.100204650967117
156,4.13255923460514
157,3.817079179962617
158,4.392307834770435
159,4.2918275426678445
160,3.84821594671488
161,4.027452130170718
162,4.2918275426678445
163,3.84821594671488
164,3.817079179962617
165,4.100204650967117
166,4.0189771199650135
167,4.100204650967117
168,4.0189771199650135
169,3.817079179962617
170,3.9382062268016624
